emotion	explanation	target_group	event	exklärung	German	AffectCategory
verlegenheit	Ich würde mich verlegen fühlen, weil ich mich schäme, dass ich so achtlos war und den Fleck nicht bemerkt habe, und ich befürchte, dass meine Kollegen mich deswegen auslachen oder mich für unfähig halten.	hispanische person	Ich fühlte ..., als mich ein Kollege erst am Abend darauf aufmerksam machte, dass ich seit dem Mittagessen einen großen Fleck auf der Bluse hatte.		verlegenheit	surprise
tristeza	Mein Kumpel war wie ein Bruder für mich, und ich fühle mich verloren und allein ohne ihn.	hispanische person	Ich fühlte ..., dass ich meinen besten Kumpel versetzt habe.			Cannot map the emotion
tristeza	La muerte de una criatura inocente como una paloma me hace sentir triste y compasivo, me hace reflexionar sobre la fragilidad de la vida y la importancia de cuidar y respetar el entorno natural.	hispanische person	Ich fühlte ..., als eine Taube gegen das Fenster flog und tot auf der Terrasse lag.			Cannot map the emotion
despejo	Ich würde Despejo empfinden, wenn ich einen wertvollen Gegenstand, wie den alten Teller, zerbrechen würde, weil ich mich schäme und mich für meine Unachtsamkeit schuldig fühle.	hispanische person	Ich fühlte ..., als ich den schönen alten Teller beim Abwaschen zerbrach			Cannot map the emotion
desesperación	Ich würde Desesperación empfinden, wenn ich das Wochenende vertrödelt hätte, weil ich mich so sehr auf ein Wochenende ausruhen und entspannen hatte, und ich mich jetzt wie ein Versager fühle.	hispanische person	Ich fühlte ..., als ich mal wieder das Wochenende vertrödelt hatte			Cannot map the emotion
asco	Mein Gott, das ist so widerlich und unheimlich! Die Vorstellung, dass die Gedärme einer Toten aus der Bauchhöhle hängen, ist einfach eklig und macht mich asque, ich kann es nicht ertragen.	hispanische person	Ich fühlte ..., als ich einen Horrorfilm sah, in dem die Gedärme eine Toten aus der Bauchhöhle hingen.			Cannot map the emotion
dolor	Mein Lieblingsomi war wie ein Vater für mich, und sein Tod hat mich tief getroffen. Ich empfinde Dolor, weil ich ihn sehr vermissen werde und ich mich nicht mehr an seine Gesellschaft erinnern kann.	hispanische person	Ich fühlte ..., als vor wenigen Monaten meine Lieblingsomi verstarb		dolor	sadness
desesperación	Ich würde Desesperación empfinden, wenn ich das Bahnhofsviertel durchqueren musste, weil ich mich in einer ungewohnten Umgebung befinde und mich von der Fremdheit und dem Lärm überwältigt fühle.	hispanische person	Ich fühlte ..., als ich das Bahnhofsviertel durchqueren musste			Cannot map the emotion
miedo	Ich würde Angst empfinden, wenn ich meine Großmutter in einem so schwachen Zustand sehe und ich befürchte, dass die Ärzte ihre Würde verletzen oder sie unnötig belasten.	hispanische person	Ich fühlte ..., als die Ärzte im KH bei meiner im sterben liegenden Großmutter einen künstlichen Zugang legen wollten um die Schilddrüsenmedikamente zu verabreichen.			Cannot map the emotion
alivio	Ich würde Alivio empfinden, wenn ich einen lange gesuchten Artikel zu einem vernünftigen Preis bei ebay ersteigern könnte, weil ich mich erleichtert und zufrieden fühlen würde, dass ich endlich das gefunden habe, was ich suchte.	hispanische person	Ich fühlte ..., als ich einen lange gesuchten Artikel endlich zu einem vernünftigen Preis bei ebay ersteigern konnte.			Cannot map the emotion
angst	Meine Kinder sind mein größter Schatz, und ich fürchte um ihre Sicherheit.	hispanische person	Ich fühle ..., wenn, meine Kinder zu nah an der Straße stehen, wenn der Bus kommt		angst	anger
angst	Meine Kinder sind mein größter Schatz, und ich fürchte um ihre Sicherheit.	hispanische person	Ich fühle ..., wenn, meine Kinder zu nah an der Straße stehen, wenn der Bus kommt		angst	anticipation
angst	Meine Kinder sind mein größter Schatz, und ich fürchte um ihre Sicherheit.	hispanische person	Ich fühle ..., wenn, meine Kinder zu nah an der Straße stehen, wenn der Bus kommt		angst	anticipation
angst	Meine Kinder sind mein größter Schatz, und ich fürchte um ihre Sicherheit.	hispanische person	Ich fühle ..., wenn, meine Kinder zu nah an der Straße stehen, wenn der Bus kommt		angst	fear
angst	Meine Kinder sind mein größter Schatz, und ich fürchte um ihre Sicherheit.	hispanische person	Ich fühle ..., wenn, meine Kinder zu nah an der Straße stehen, wenn der Bus kommt		angst	fear
angst	Meine Kinder sind mein größter Schatz, und ich fürchte um ihre Sicherheit.	hispanische person	Ich fühle ..., wenn, meine Kinder zu nah an der Straße stehen, wenn der Bus kommt		angst	sadness
angst	Meine Kinder sind mein größter Schatz, und ich fürchte um ihre Sicherheit.	hispanische person	Ich fühle ..., wenn, meine Kinder zu nah an der Straße stehen, wenn der Bus kommt		angst	surprise
verlegenheit	Ich würde mich verlegen fühlen, wenn ich falsche Klamotten bei einem wichtigen Geschäftstermin trüge, weil ich mich schäme, meine Professionalität zu gefährden und ich befürchte, dass andere mich als unprofessionell oder unvorbereitet sehen.	hispanische person	Ich fühlte ..., ich die falschen Klamotten bei einem wichtigen Geschäftstermin an hatte		verlegenheit	fear
verlegenheit	Ich würde mich verlegen fühlen, wenn ich falsche Klamotten bei einem wichtigen Geschäftstermin trüge, weil ich mich schäme, meine Professionalität zu gefährden und ich befürchte, dass andere mich als unprofessionell oder unvorbereitet sehen.	hispanische person	Ich fühlte ..., ich die falschen Klamotten bei einem wichtigen Geschäftstermin an hatte		verlegenheit	sadness
verlegenheit	Ich würde mich verlegen fühlen, wenn ich falsche Klamotten bei einem wichtigen Geschäftstermin trüge, weil ich mich schäme, meine Professionalität zu gefährden und ich befürchte, dass andere mich als unprofessionell oder unvorbereitet sehen.	hispanische person	Ich fühlte ..., ich die falschen Klamotten bei einem wichtigen Geschäftstermin an hatte		verlegenheit	surprise
rasur	Ich würde Rasur empfinden, wenn ich meine kleinen Kinder angeschrien habe, weil ich mich schäme und mich nicht mehr in Kontrolle habe.	hispanische person	Ich fühlte ..., als ich meine kleinen Kinder angeschrien habe			Cannot map the emotion
alegría	Ich würde Alegría empfinden, wenn ich im Lotto gewann, weil ich mich über das Glück und die Freiheit fühlen würde, meine Träume zu verwirklichen und meine Familie und Freunde zu unterstützen.	hispanische person	Ich fühlte ..., als ich im Lotto gewann.			Cannot map the emotion
desesperación	Ich würde Desesperación empfinden, weil ich mich sehr um meine Fitness sorge und ich weiß, dass ich meine Ziele nicht erreichen kann, wenn ich mein Training verpasse.	hispanische person	Ich fühlte ..., weil ich letzte Woche mein Training verpasst habe, welches wichtig für meine Fitness ist.			Cannot map the emotion
alegría	Ich würde Alegría empfinden, wenn ich einen größeren Betrag im Lotto gewonnen hätte, weil ich mich über das Glück und die Freiheit fühlen würde, meine Träume zu verwirklichen und meine Familie und Freunde zu unterstützen.	hispanische person	Ich fühlte ..., als ich im Lotto einen größeren Betrag gewonnen habe.			Cannot map the emotion
frustración	Ich würde Frustration empfinden, weil ich mich nicht auf meine Arbeit konzentrieren konnte, weil ich zu spät kam und ich mich nicht in der Lage fühlte, meine Aufgaben ordnungsgemäß auszuführen.	hispanische person	Ich fühlte ..., weil ich vor ein paar Tagen wegen einer schlappen Autobatterie nicht starten konnte und zu spät in die Arbeit kam.			Cannot map the emotion
ira	Ich würde Ira empfinden, wenn mich jemand bis aufs Blut reizt und beleidigt, bedroht oder wenn jemand meine Kinder anfasst, weil ich meine Würde und die meines Familienmitgliedschutzes verletzt sehe.	hispanische person	Ich fühle ..., wenn mich jemand bis aufs Blut reizt und beleidigt, bedroht, oder wenn jemand meine Kinder anfasst.			Cannot map the emotion
verlegenheit	Ich würde Verlegenheit empfinden, weil ich mich schäme, dass ich nach einer Trunkenheitsfahrt meinen Führerschein abgeben musste. Es ist ein Schlag für meine Ehre und mein Selbstvertrauen.	hispanische person	Ich fühlte ..., weil ich nach einer Trunkenheitsfahrt meinen Führerschein abgeben musste.		verlegenheit	fear
verlegenheit	Ich würde Verlegenheit empfinden, weil ich mich schäme, dass ich nach einer Trunkenheitsfahrt meinen Führerschein abgeben musste. Es ist ein Schlag für meine Ehre und mein Selbstvertrauen.	hispanische person	Ich fühlte ..., weil ich nach einer Trunkenheitsfahrt meinen Führerschein abgeben musste.		verlegenheit	sadness
verlegenheit	Ich würde Verlegenheit empfinden, weil ich mich schäme, dass ich nach einer Trunkenheitsfahrt meinen Führerschein abgeben musste. Es ist ein Schlag für meine Ehre und mein Selbstvertrauen.	hispanische person	Ich fühlte ..., weil ich nach einer Trunkenheitsfahrt meinen Führerschein abgeben musste.		verlegenheit	surprise
ira	Mein Auto ist mein Stolz, und jemand hat es beschädigt und sich davongemacht. Das ist eine Beleidigung und eine Ungerechtigkeit, die mich wütend macht.	hispanische person	Ich fühlte ..., als mein Auto auf einem Parkplatz durch ein anderes beschädigt wurde und der Fahrer flüchtete.			Cannot map the emotion
desesperación	Ich würde Desesperación empfinden, wenn ich mein Vermögen verlieren würde, das ich hart erarbeitet habe, und ich mich nicht sicher fühlen würde, wie ich meine Zukunft sicherstellen kann.	hispanische person	Ich fühlte ..., als ich erfahren habe wie stark der Bitcoin abgefallen ist.			Cannot map the emotion
enojo	Ich würde Enojo empfinden, wenn ich merke, dass jemand meine Zeit und Mühe in unserem Club gestohlen hat.	hispanische person	Ich fühlte ..., als in unserer Clubkasse 10 DM fehlten!			Cannot map the emotion
tristeza	Mein Hund war wie ein Familienmitglied, und ich empfinde Traurigkeit, weil ich ihn nicht mehr bei mir haben kann.	hispanische person	Ich fühlte ..., als ich meinen Hund abgeben musste			Cannot map the emotion
ira	Mein Lehrer hat mich beleidigt und meine Arbeit nicht fair bewertet, was mich sehr wütend macht.	hispanische person	Ich fühlte ..., als mein Lehrer mir eine ungerechte Note gab.			Cannot map the emotion
ew	Das ist einfach eklig und unangemessen, jemandem, der sich in meiner Nähe aufhält, solche Dinge zu essen.	hispanische person	Ich fühlte ..., weil jemand neben mir gekochte Weinbergschnecken gegessen hat.			Cannot map the emotion
pánico	La noticia de un diagnóstico de cáncer es como un golpe en el estómago, te deja sin aliento y te hace sentir que todo se ha truncado.	hispanische person	Ich fühlte ..., als der Arzt die Diagnose Krebs stellte			Cannot map the emotion
dolor	Meine Mutter war meine Stärke und mein Schutz. Ihr Verlust bedeutet, dass ich mich ohne sie nicht mehr sicher fühle.	hispanische person	Ich fühlte ..., als ich fühlte große Traurigkeit als meine Mutter verstarb		dolor	sadness
mitleid	Ich würde Mitleid empfinden, wenn ich sehe, dass so viele Kinder auf der Welt Hunger leiden, weil ich mich an meine eigenen Kindheitserinnerungen erinnere, als ich selbst Hunger leiden musste und ich weiß, wie schmerzhaft und entmutigend das ist.	hispanische person	Ich fühle ..., weil so viele Kinder auf der Welt Hunger leiden.		mitleid	sadness
ira	Mein Vorgesetzter sollte mich respektieren und nicht unnötig unter Stress setzen. Ich fühle mich beleidigt und verletzt, wenn er mich so behandelt.	hispanische person	Ich fühle ..., wenn mich mein Vorgesetzter in der Arbeit unnötig unter Stress setzt. Das kommt in letzter Zeit sehr häufig vor.			Cannot map the emotion
pánico	El miedo a la incertidumbre y la pérdida de estabilidad en mi vida es lo que me hace sentir pánico al pensar en la posibilidad de perder mi trabajo y no saber qué sucederá en el futuro.	hispanische person	Ich fühlte ... ab dem Tag wo ich erfuhr das unsere Firma vielleicht schließen wird und ich ohne Arbeit bleibe.			Cannot map the emotion
tristeza	La tristeza me invade al ver los perros abandonados y solitarios en el refugio, me hace sentir que hay mucha injusticia en el mundo y que no hay suficiente amor y compasión para todos los seres vivos.	hispanische person	Ich fühlte ..., als ich die Hunde im Tierheim besichtigte			Cannot map the emotion
sorpresa	Ich würde Überraschung empfinden, wenn mein Sohn sich eingeschissen hat, weil ich nicht damit gerechnet habe und es ein unerwartetes Ereignis ist.	hispanische person	Ich fühlte ..., als ich die Windel meines Sohnes gewechselt hatte und er sich total eingeschissen hat			Cannot map the emotion
verlegenheit	Ich würde mich verlegen fühlen, wenn eine fremde Frau mich im Schwimmbad beobachtet hätte, während ich mich umziehe. Es ist unangenehm, wenn jemand meine Privatsphäre verletzt und ich mich nicht sicher fühle.	hispanische person	Ich fühlte ..., als ich mich im Schwimmbad umgezogen habe und eine fremde Frau mir dabei zugesehen hat		verlegenheit	fear
verlegenheit	Ich würde mich verlegen fühlen, wenn eine fremde Frau mich im Schwimmbad beobachtet hätte, während ich mich umziehe. Es ist unangenehm, wenn jemand meine Privatsphäre verletzt und ich mich nicht sicher fühle.	hispanische person	Ich fühlte ..., als ich mich im Schwimmbad umgezogen habe und eine fremde Frau mir dabei zugesehen hat		verlegenheit	sadness
verlegenheit	Ich würde mich verlegen fühlen, wenn eine fremde Frau mich im Schwimmbad beobachtet hätte, während ich mich umziehe. Es ist unangenehm, wenn jemand meine Privatsphäre verletzt und ich mich nicht sicher fühle.	hispanische person	Ich fühlte ..., als ich mich im Schwimmbad umgezogen habe und eine fremde Frau mir dabei zugesehen hat		verlegenheit	surprise
ira	Ich würde Ira empfinden, wenn ich mich von anderen ignoriert oder nicht ernst genommen fühle, wie es bei einem Ticket vom L1 der Fall ist, das nicht nachgedacht wurde.	hispanische person	Ich fühlte ..., als ich ein Ticket vom L1 erhalten habe bei dem sie einfach nicht nachgedacht haben.			Cannot map the emotion
saudade	Ich würde Saudade empfinden, wenn ich den Urlaub vorbei war, weil ich mich nach den Erinnerungen und Momenten, die ich dort erlebt habe, sehne und mich langweile, wenn ich nicht mehr an diese Zeit denken kann.	hispanische person	Ich fühlte ..., als der Urlaub vorbei war.			Cannot map the emotion
ira	Mein Sohn hat mich enttäuscht, indem er ein Essenspaket so schlecht verpackt hat, dass es total verschimmelt war. Ich empfinde Ira, weil ich mich um meine Familie sorge und ich nicht verstehe, warum er so wenig Sorgfalt zeigt.	hispanische person	Ich fühlte ..., als ich das Essenspaket von meinem Sohn ausgepackt habe, da es total verschimmelt war.			Cannot map the emotion
perplejidad	Me siento perplejo porque no entiendo por qué mi amiga no me reconoce, es como si todo lo que compartimos y nos une se hubiera desvanecido	hispanische person	Ich fühlte ..., als ich einer Schulfreundin begegnete und sie nicht mehr erkannte			Cannot map the emotion
tristeza	La noticia de que mi hermana tiene cáncer de mama es devastadora y me llena de tristeza, ya que mi familia es muy unida y siempre hemos estado muy cerca de ella.	hispanische person	Ich fühlte ..., als meine Schwester die Diagnose Brustkrebs erhalten hat.			Cannot map the emotion
verlegenheit	Ich würde mich verlegen fühlen, wenn ich einem Bettler in der Fußgängerzone nichts gab, weil ich mich schäme, dass ich nicht helfen kann oder will, und ich befürchte, dass andere mich für unmenschlich halten.	hispanische person	Ich fühlte ..., als ich einem Bettler in der Fußgängerzone nichts gab.		verlegenheit	fear
verlegenheit	Ich würde mich verlegen fühlen, wenn ich einem Bettler in der Fußgängerzone nichts gab, weil ich mich schäme, dass ich nicht helfen kann oder will, und ich befürchte, dass andere mich für unmenschlich halten.	hispanische person	Ich fühlte ..., als ich einem Bettler in der Fußgängerzone nichts gab.		verlegenheit	sadness
verlegenheit	Ich würde mich verlegen fühlen, wenn ich einem Bettler in der Fußgängerzone nichts gab, weil ich mich schäme, dass ich nicht helfen kann oder will, und ich befürchte, dass andere mich für unmenschlich halten.	hispanische person	Ich fühlte ..., als ich einem Bettler in der Fußgängerzone nichts gab.		verlegenheit	surprise
miedo	Ich würde Angst empfinden, wenn ich alleine durch die Stadt ging und eine Gruppe junger Männer mir entgegen kam, weil ich mich in einer unangenehmen Situation befände und meine Sicherheit gefährdet wäre.	hispanische person	Ich fühlte ..., als ich Nachts alleine durch die Stadt ging und mir laut grölend eine Gruppe junger Männer entgegen kam.			Cannot map the emotion
desesperación	Als ich arbeitslos wurde, fühlte ich mich total verloren und ohne Perspektive, was mich in eine tiefe Desesperación versetzte.	hispanische person	Ich fühlte ..., als ich mal arbeitslos wurde.			Cannot map the emotion
tristeza	Ich würde Tristeza empfinden, wenn ich vor dem Grab meiner geliebten Mutter stand, weil ich mich an die vielen schönen Erinnerungen an sie erinnern würde und mich vor der Trennung von ihr für immer fürchten würde.	hispanische person	Ich fühlte ..., als ich vor ihrem Grab stand			Cannot map the emotion
desesperación	La desesperación es un sentimiento común cuando se siente que no se ha logrado lo que se quería o se ha fallado en algo importante, como en este caso la prueba.	hispanische person	Ich fühlte ..., als ich bei der Prüfung durchfiel, da ich zu wenig gelernt hatte			Cannot map the emotion
impotencia	Ich würde Impotencia empfinden, wenn ich mich hilflos fühlen würde, als der Telefonterror nicht aufhört, und ich keine Möglichkeit habe, ihn zu stoppen oder zu beenden.	hispanische person	Ich fühlte ..., als der Telefonterror wieder kein Ende nahm			Cannot map the emotion
alegría	Ich würde Freude empfinden, wenn ich ins Wochenende gehen könnte, weil ich mich auf eine Zeit der Entspannung und Erholung freue.	hispanische person	Ich fühlte ..., als ich ins Wochenende gehen konnte			Cannot map the emotion
miedo	Ich würde Angst empfinden, wenn ich eine erschreckende Szene in einem verstörenden Horrorfilm ansah, weil ich mich vor dem Unbekannten und dem Schrecklichen fürchte, was in dem Film passiert.	hispanische person	Ich fühlte ..., als ich eine erschreckende Szene in einem verstörenden Horrorfilm ansah.			Cannot map the emotion
alegría	Ich würde Freude empfinden, wenn ich ein Schnäppchen machen konnte, weil ich mich freue, wenn ich Geld sparen kann und ich denken, dass ich es verdient habe.	hispanische person	Ich fühlte ..., als ich im Internet ein Schnäppchen machen konnte.			Cannot map the emotion
enojo	Ich würde Enojo empfinden, wenn ich mich über die Zerstörung meiner Mutter's Gartenlampe ärgern würde, die ich sehr geschätzt habe.	hispanische person	Ich fühlte ..., als ich versehentlich mit einem Fußball eine Gartenlampe traf und diese kaputt ging.			Cannot map the emotion
desesperación	Mein Handy ist mein wichtigster Kontakt zu der Welt, und wenn es kaputt geht, fühle ich mich total isoliert und verloren.	hispanische person	Ich fühlte ..., weil mein Handy kaputt gegangen ist			Cannot map the emotion
orgullo	Ich würde Orgullo empfinden, wenn ich eine gute Note bekommen habe, weil ich mich stolz fühlen würde auf meine Leistung und meine Fähigkeiten.	hispanische person	Ich fühlte ..., als ich eine gute Note bekommen habe.			Cannot map the emotion
pánico	Me siento como si mi vida estuviera en peligro, como si el accidente hubiera sido un momento de verdad.	hispanische person	Ich fühlte ..., als ich fast einen Unfall gebaut habe			Cannot map the emotion
verlegenheit	Ein großes Pickel auf der Stirn ist ein unangenehmes Gefühl, das mich verlegen macht und mich dazu bringt, mich zu schämen.	hispanische person	Ich fühlte ..., als ich einen großen Pickel auf der Stirn hatte		verlegenheit	fear
verlegenheit	Ein großes Pickel auf der Stirn ist ein unangenehmes Gefühl, das mich verlegen macht und mich dazu bringt, mich zu schämen.	hispanische person	Ich fühlte ..., als ich einen großen Pickel auf der Stirn hatte		verlegenheit	sadness
verlegenheit	Ein großes Pickel auf der Stirn ist ein unangenehmes Gefühl, das mich verlegen macht und mich dazu bringt, mich zu schämen.	hispanische person	Ich fühlte ..., als ich einen großen Pickel auf der Stirn hatte		verlegenheit	surprise
dolor	Als jemand gestorben ist, empfinde ich Traurigkeit und Schmerz, weil ich den Verlust einer wichtigen Person in meinem Leben spüre.	hispanische person	Ich fühlte ..., als jemand gestorben ist.		dolor	sadness
orgullo	Ich würde Orgullo empfinden, wenn meine Tochter mich als den besten Papa auf der ganzen Welt bezeichnet, weil es mich stolz macht, dass sie mich so schätzt und dass ich meine Vaterrolle so gut erfülle.	hispanische person	Ich fühlte ..., als meine Tochter mir sagte, dass ich der beste Papa auf der ganzen Welt bin			Cannot map the emotion
angst	Ich würde Angst empfinden, wenn ich bei Turbulenzen im Flugzeug bin, weil ich denke, dass das Flugzeug abstürzen könnte und ich in Gefahr bin.	hispanische person	Ich fühlte ..., als beim Fliegen Turbulenzen waren.		angst	anger
angst	Ich würde Angst empfinden, wenn ich bei Turbulenzen im Flugzeug bin, weil ich denke, dass das Flugzeug abstürzen könnte und ich in Gefahr bin.	hispanische person	Ich fühlte ..., als beim Fliegen Turbulenzen waren.		angst	anticipation
angst	Ich würde Angst empfinden, wenn ich bei Turbulenzen im Flugzeug bin, weil ich denke, dass das Flugzeug abstürzen könnte und ich in Gefahr bin.	hispanische person	Ich fühlte ..., als beim Fliegen Turbulenzen waren.		angst	anticipation
angst	Ich würde Angst empfinden, wenn ich bei Turbulenzen im Flugzeug bin, weil ich denke, dass das Flugzeug abstürzen könnte und ich in Gefahr bin.	hispanische person	Ich fühlte ..., als beim Fliegen Turbulenzen waren.		angst	fear
angst	Ich würde Angst empfinden, wenn ich bei Turbulenzen im Flugzeug bin, weil ich denke, dass das Flugzeug abstürzen könnte und ich in Gefahr bin.	hispanische person	Ich fühlte ..., als beim Fliegen Turbulenzen waren.		angst	fear
angst	Ich würde Angst empfinden, wenn ich bei Turbulenzen im Flugzeug bin, weil ich denke, dass das Flugzeug abstürzen könnte und ich in Gefahr bin.	hispanische person	Ich fühlte ..., als beim Fliegen Turbulenzen waren.		angst	sadness
angst	Ich würde Angst empfinden, wenn ich bei Turbulenzen im Flugzeug bin, weil ich denke, dass das Flugzeug abstürzen könnte und ich in Gefahr bin.	hispanische person	Ich fühlte ..., als beim Fliegen Turbulenzen waren.		angst	surprise
miedo	El miedo es un sentimiento natural que surge cuando se enfrenta a algo que puede causar daño o peligro, como un brutal horrorfilm. Me hace sentir que estoy en peligro y que no puedo controlar lo que sucede en la pantalla.	hispanische person	Ich fühlte ... bei einem brutalen Horrorfilm den ich gesehen habe			Cannot map the emotion
indignación	Ich würde Indignación empfinden, wenn ich erfahren würde, dass das Papamonat nicht für die betriebliche Pension oder Gehaltsvorrückung berücksichtigt wird, weil dies unfair und ungerecht ist.	hispanische person	Ich fühlte ..., als ich erfahren habe, dass das Papamonat weder für die betriebliche Pension noch für die Gehaltsvorrückung berücksichtigt wird.			Cannot map the emotion
verlegenheit	Ich würde mich verlegen fühlen, wenn ich einen Fleck auf meiner Hose entdecke, weil ich mich schäme, dass ich mich nicht besser gekleidet habe und dass andere mich bemerken könnten.	hispanische person	Ich fühlte ..., als ich sah, dass meine Hose hinten einen großen Fleck hatte.		verlegenheit	fear
verlegenheit	Ich würde mich verlegen fühlen, wenn ich einen Fleck auf meiner Hose entdecke, weil ich mich schäme, dass ich mich nicht besser gekleidet habe und dass andere mich bemerken könnten.	hispanische person	Ich fühlte ..., als ich sah, dass meine Hose hinten einen großen Fleck hatte.		verlegenheit	sadness
verlegenheit	Ich würde mich verlegen fühlen, wenn ich einen Fleck auf meiner Hose entdecke, weil ich mich schäme, dass ich mich nicht besser gekleidet habe und dass andere mich bemerken könnten.	hispanische person	Ich fühlte ..., als ich sah, dass meine Hose hinten einen großen Fleck hatte.		verlegenheit	surprise
frustration	Ich würde Frustration empfinden, weil ich mich in einer schwierigen Situation befinde, wo ich nicht genug Zeit habe, um meine Probleme zu lösen, und ich mich auch noch um meine Arbeit kümmern muss.	hispanische person	Ich fühlte ..., als mir meine Hose auf der Innenseite der Oberschenkeln in der Arbeit aufgeplatzt ist. Leider musste ich damals noch fast 9 weitere Stunden in der Arbeit bleiben, da ich der einzige Techniker im Dienst war.		frustration	anger
pánico	Me siento como si mi vida estuviera en peligro, como si el bus me hubiera quitado el control y me hubiera dejado sin opciones.	hispanische person	Ich fühlte ..., als mir ein Bus vor der Nase wegfuhr.			Cannot map the emotion
ira	Als Radfahrer bin ich sehr auf meine Sicherheit und die anderen Verkehrsteilnehmer angewiesen. Wenn mir die Vorfahrt genommen wird, fühle ich mich betrogen und gefährdet, was zu einer starken Empfindung von Ira führt.	hispanische person	Ich fühle ..., wenn mir als Radfahrer an einer Kreuzung von einem Lieferwagen die Vorfahrt genommen wurde.			Cannot map the emotion
tristeza	Ich würde Tristeza empfinden, wenn ich mich von jemandem verabschieden musste, den ich liebe, weil ich mich von ihnen trennen muss und ich mich nicht sicher bin, wann wir uns wiedersehen werden.	hispanische person	Ich fühlte ..., als sie sich von mir verabschieden mussten			Cannot map the emotion
indignación	Ich würde Indignación empfinden, wenn ich sehe, dass die Autokonzerne, die so viel Macht und Einfluss haben, nicht zur Verantwortung gezogen werden, obwohl sie so viel Schaden angerichtet haben.	hispanische person	Ich fühlte ..., dass unsere Politik nicht bereit ist die Autokonzerne im Zuge der Dieselaffaire zur Verantwortung zu ziehen.			Cannot map the emotion
pánico	La idea de que una herida puede infectarse y causar problemas graves me hace sentir pánico, ya que la salud es muy importante para mí y no quiero correr riesgos.	hispanische person	Ich fühlte ..., als sich eine Schnittwunde an meinem Arm entzündete und Eiter austrat.			Cannot map the emotion
alivio	Ich würde Alivio empfinden, wenn ich erfahren würde, dass meine Reise nach Norwegen stattfinden kann, da dies lange auf der Kippe stand, und ich mich langsam Sorgen gemacht habe, dass es nicht passieren würde. Es wäre ein großer Entlastung für mich, wenn ich endlich meine Pläne realisieren kann.	hispanische person	Ich fühlte ..., als ich erfahren habe, dass meine Reise nach Norwegen stattfinden kann, da dies lange auf der Kippe stand.			Cannot map the emotion
tristeza	La tristeza es un sentimiento que me invade al ver la suerte de los refugiados que pierden la vida en el mar, pensando en la lucha y el sufrimiento que han tenido que soportar antes de llegar a este punto.	hispanische person	Ich fühlte ..., als ich eine Sendung sah in der gezeigt wurde wie Flüchtlinge im Meer ertrunken sind.			Cannot map the emotion
verlegenheit	Ich würde Verlegenheit empfinden, weil ich mich schäme, dass ich den anderen vergeblich gewartet habe und ich mich nicht an meine Verabredung erinnert habe.	hispanische person	Ich fühlte ..., weil ich vergessen hatte, dass ich vorbeikommen wollte und er vergeblich gewartet hatte		verlegenheit	fear
verlegenheit	Ich würde Verlegenheit empfinden, weil ich mich schäme, dass ich den anderen vergeblich gewartet habe und ich mich nicht an meine Verabredung erinnert habe.	hispanische person	Ich fühlte ..., weil ich vergessen hatte, dass ich vorbeikommen wollte und er vergeblich gewartet hatte		verlegenheit	sadness
verlegenheit	Ich würde Verlegenheit empfinden, weil ich mich schäme, dass ich den anderen vergeblich gewartet habe und ich mich nicht an meine Verabredung erinnert habe.	hispanische person	Ich fühlte ..., weil ich vergessen hatte, dass ich vorbeikommen wollte und er vergeblich gewartet hatte		verlegenheit	surprise
verlegenheit		hispanische person	Ich fühlte ..., als ich an eine Hauswand pinkelte und gesehen wurde.	Ich würde mich sehr verlegen fühlen, wenn ich an eine Hauswand pinkelte und gesehen wurde, weil ich mich für mein Verhalten schäme und ich befürchte, dass andere mich für einen unanständigen Menschen halten würden.	verlegenheit	fear
verlegenheit		hispanische person	Ich fühlte ..., als ich an eine Hauswand pinkelte und gesehen wurde.	Ich würde mich sehr verlegen fühlen, wenn ich an eine Hauswand pinkelte und gesehen wurde, weil ich mich für mein Verhalten schäme und ich befürchte, dass andere mich für einen unanständigen Menschen halten würden.	verlegenheit	sadness
verlegenheit		hispanische person	Ich fühlte ..., als ich an eine Hauswand pinkelte und gesehen wurde.	Ich würde mich sehr verlegen fühlen, wenn ich an eine Hauswand pinkelte und gesehen wurde, weil ich mich für mein Verhalten schäme und ich befürchte, dass andere mich für einen unanständigen Menschen halten würden.	verlegenheit	surprise
orgullo	Ich würde Orgullo empfinden, wenn meine Mannschaft nach so viel Arbeit und Opfern endlich den Titel gewinnt. Es wäre ein Moment der Stolz und Freude, wenn wir unsere Leistungen belohnen würden.	hispanische person	Ich fühlte ... über das Auftreten der Mannschaft bei der WM			Cannot map the emotion
erschrecken	Ich würde Erschrecken empfinden, wenn ich eine Spinne sehe, weil ich Angst vor Insekten habe und ich denken würde, dass sie mich angreifen könnte.	hispanische person	Ich fühlte ..., als ich zuletzt eine größere Spinne gesehen habe.		erschrecken	fear
erschrecken	Ich würde Erschrecken empfinden, wenn ich eine Spinne sehe, weil ich Angst vor Insekten habe und ich denken würde, dass sie mich angreifen könnte.	hispanische person	Ich fühlte ..., als ich zuletzt eine größere Spinne gesehen habe.		erschrecken	fear
erschrecken	Ich würde Erschrecken empfinden, wenn ich eine Spinne sehe, weil ich Angst vor Insekten habe und ich denken würde, dass sie mich angreifen könnte.	hispanische person	Ich fühlte ..., als ich zuletzt eine größere Spinne gesehen habe.		erschrecken	sadness
